# Spherical Bessel functions via up and down recursion, l = 10
#   x       jdown(x)      jup(x)         rel. error          log10(x)    log10(rel.err.)   Bessel GSL Routuine
15.60000000 -3.00082055e-02 -3.00082055e-02  3.00603182e-15  1.19312460e+00  -1.45220064e+01  -3.00082055e-02
15.70000000 -3.46863251e-02 -3.46863251e-02  1.92045082e-14  1.19589965e+00  -1.37165968e+01  -3.46863251e-02
15.80000000 -3.91144198e-02 -3.91144198e-02  1.33049920e-15  1.19865709e+00  -1.48759854e+01  -3.91144198e-02
15.90000000 -4.32694614e-02 -4.32694614e-02  3.20729386e-16  1.20139712e+00  -1.54938612e+01  -4.32694614e-02
16.00000000 -4.71297468e-02 -4.71297468e-02  7.36148014e-16  1.20411998e+00  -1.51330349e+01  -4.71297468e-02
16.10000000 -5.06750562e-02 -5.06750562e-02  6.16181311e-16  1.20682588e+00  -1.52102915e+01  -5.06750562e-02
16.20000000 -5.38868053e-02 -5.38868053e-02  5.15071834e-16  1.20951501e+00  -1.52881322e+01  -5.38868053e-02
16.30000000 -5.67481875e-02 -5.67481875e-02  1.83412745e-16  1.21218760e+00  -1.57365705e+01  -5.67481875e-02
16.40000000 -5.92443077e-02 -5.92443077e-02  2.92808465e-16  1.21484385e+00  -1.55334164e+01  -5.92443077e-02
16.50000000 -6.13623036e-02 -6.13623036e-02  0.00000000e+00  1.21748394e+00  -2.00000000e+01  -6.13623036e-02
16.60000000 -6.30914564e-02 -6.30914564e-02  1.09981514e-16  1.22010809e+00  -1.59586803e+01  -6.30914564e-02
16.70000000 -6.44232868e-02 -6.44232868e-02  1.07707853e-16  1.22271647e+00  -1.59677526e+01  -6.44232868e-02
16.80000000 -6.53516387e-02 -6.53516387e-02  0.00000000e+00  1.22530928e+00  -2.00000000e+01  -6.53516387e-02
16.90000000 -6.58727461e-02 -6.58727461e-02  0.00000000e+00  1.22788670e+00  -2.00000000e+01  -6.58727461e-02
17.00000000 -6.59852858e-02 -6.59852858e-02  1.05158200e-16  1.23044892e+00  -1.59781569e+01  -6.59852858e-02
17.10000000 -6.56904134e-02 -6.56904134e-02  1.05630237e-16  1.23299611e+00  -1.59762117e+01  -6.56904134e-02
17.20000000 -6.49917817e-02 -6.49917817e-02  0.00000000e+00  1.23552845e+00  -2.00000000e+01  -6.49917817e-02
17.30000000 -6.38955431e-02 -6.38955431e-02  1.08597463e-16  1.23804610e+00  -1.59641803e+01  -6.38955431e-02
17.40000000 -6.24103337e-02 -6.24103337e-02  0.00000000e+00  1.24054925e+00  -2.00000000e+01  -6.24103337e-02
17.50000000 -6.05472394e-02 -6.05472394e-02  5.73014887e-17  1.24303805e+00  -1.62418341e+01  -6.05472394e-02
17.60000000 -5.83197457e-02 -5.83197457e-02  1.18980181e-16  1.24551267e+00  -1.59245254e+01  -5.83197457e-02
17.70000000 -5.57436682e-02 -5.57436682e-02  0.00000000e+00  1.24797327e+00  -2.00000000e+01  -5.57436682e-02
17.80000000 -5.28370674e-02 -5.28370674e-02  1.31326250e-16  1.25042000e+00  -1.58816485e+01  -5.28370674e-02
17.90000000 -4.96201450e-02 -4.96201450e-02  1.39840259e-16  1.25285303e+00  -1.58543678e+01  -4.96201450e-02
18.00000000 -4.61151255e-02 -4.61151255e-02  7.52344683e-17  1.25527251e+00  -1.61235831e+01  -4.61151255e-02
18.10000000 -4.23461211e-02 -4.23461211e-02  0.00000000e+00  1.25767857e+00  -2.00000000e+01  -4.23461211e-02
18.20000000 -3.83389815e-02 -3.83389815e-02  9.04939782e-17  1.26007139e+00  -1.60433803e+01  -3.83389815e-02
18.30000000 -3.41211306e-02 -3.41211306e-02  0.00000000e+00  1.26245109e+00  -2.00000000e+01  -3.41211306e-02
18.40000000 -2.97213901e-02 -2.97213901e-02  0.00000000e+00  1.26481782e+00  -2.00000000e+01  -2.97213901e-02
18.50000000 -2.51697903e-02 -2.51697903e-02  0.00000000e+00  1.26717173e+00  -2.00000000e+01  -2.51697903e-02
